timestamp,location,vehicle_count,avg_speed,weather,accident,congestion
2026-04-14 23:53:03.120889,Junction_B,18,48.53,Clear,0,0
2026-04-15 02:25:03.120889,Junction_A,32,50.22,Clear,0,0
2026-04-15 06:30:03.120889,Junction_B,22,47.81,Fog,1,1
2026-04-15 02:36:03.120889,Junction_D,33,50.7,Clear,0,0
2026-04-15 00:15:03.120889,Junction_A,49,37.07,Fog,0,0
2026-04-15 16:25:03.120889,Junction_B,13,73.86,Rain,0,0
2026-04-15 19:09:03.120889,Junction_D,111,36.66,Fog,0,1
2026-04-15 14:16:03.120889,Junction_A,43,48.19,Rain,0,0
2026-04-15 18:16:03.120889,Junction_B,96,23.55,Clear,0,1
2026-04-15 11:16:03.120889,Junction_A,62,29.02,Clear,0,0
2026-04-15 11:59:03.120889,Junction_B,115,37.92,Clear,0,1
2026-04-15 14:31:03.120889,Junction_A,29,75.19,Fog,0,0
2026-04-15 03:46:03.120889,Junction_A,11,40.22,Rain,0,0
2026-04-15 07:50:03.120889,Junction_A,56,32.24,Fog,0,0
2026-04-15 16:53:03.120889,Junction_C,24,72.95,Fog,0,0
2026-04-15 06:25:03.120889,Junction_A,57,70.45,Rain,0,0
2026-04-15 03:45:03.120889,Junction_A,15,31.68,Rain,0,0
2026-04-15 18:16:03.120889,Junction_B,78,37.89,Fog,0,0
2026-04-15 03:24:03.120889,Junction_D,33,71.22,Rain,0,0
2026-04-15 14:08:03.120889,Junction_C,31,73.64,Rain,1,1
2026-04-15 10:32:03.120889,Junction_A,103,36.43,Clear,0,1
2026-04-15 11:22:03.120889,Junction_B,106,15.94,Clear,0,1
2026-04-15 10:08:03.120889,Junction_A,109,14.77,Rain,0,1
2026-04-15 03:06:03.120889,Junction_B,44,47.38,Clear,1,1
2026-04-15 04:52:03.120889,Junction_C,28,70.01,Rain,1,1
2026-04-15 06:31:03.120889,Junction_D,37,50.59,Fog,0,0
2026-04-15 04:52:03.120889,Junction_C,58,45.0,Clear,0,0
2026-04-15 07:07:03.120889,Junction_B,51,51.38,Rain,0,0
2026-04-15 03:55:03.120889,Junction_A,58,44.81,Clear,0,0
2026-04-15 17:04:03.120889,Junction_B,84,19.27,Rain,0,1
2026-04-15 10:44:03.120889,Junction_B,114,37.75,Clear,0,1
2026-04-15 17:32:03.120889,Junction_C,111,21.51,Fog,0,1
2026-04-15 18:15:03.120889,Junction_D,118,11.36,Fog,0,1
2026-04-15 04:57:03.120889,Junction_D,24,31.05,Fog,0,0
2026-04-15 05:59:03.120889,Junction_B,17,37.31,Clear,0,0
2026-04-14 23:50:03.120889,Junction_C,33,74.04,Fog,0,0
2026-04-15 07:06:03.120889,Junction_A,30,71.53,Rain,0,0
